country,coverage,measure,year,month,passengers
SWE,TOTAL,PAS_BRD,2022,M05,
SVN,TOTAL,PAS_BRD,2022,M05,
SVK,TOTAL,PAS_BRD,2022,M05,
TUR,TOTAL,PAS_BRD,2022,M05,
GBR,TOTAL,PAS_BRD,2022,M05,
AUT,INTL,PAS_BRD,2022,M04,1960837
BEL,INTL,PAS_BRD,2022,M04,
BGR,INTL,PAS_BRD,2022,M04,
CHE,INTL,PAS_BRD,2022,M04,
CYP,INTL,PAS_BRD,2022,M04,729615
CZE,INTL,PAS_BRD,2022,M04,825375
DEU,INTL,PAS_BRD,2022,M04,11955489
DNK,INTL,PAS_BRD,2022,M04,
EST,INTL,PAS_BRD,2022,M04,
GRC,INTL,PAS_BRD,2022,M04,
ESP,INTL,PAS_BRD,2022,M04,13417081
FIN,INTL,PAS_BRD,2022,M04,850514
FRA,INTL,PAS_BRD,2022,M04,
HRV,INTL,PAS_BRD,2022,M04,530138
HUN,INTL,PAS_BRD,2022,M04,
IRL,INTL,PAS_BRD,2022,M04,
ISL,INTL,PAS_BRD,2022,M04,389598
ITA,INTL,PAS_BRD,2022,M04,
LTU,INTL,PAS_BRD,2022,M04,445755
LUX,INTL,PAS_BRD,2022,M04,346651
LVA,INTL,PAS_BRD,2022,M04,
MNE,INTL,PAS_BRD,2022,M04,
MKD,INTL,PAS_BRD,2022,M04,
MLT,INTL,PAS_BRD,2022,M04,
NLD,INTL,PAS_BRD,2022,M04,5143564
NOR,INTL,PAS_BRD,2022,M04,1449411
POL,INTL,PAS_BRD,2022,M04,
PRT,INTL,PAS_BRD,2022,M04,3995451
ROU,INTL,PAS_BRD,2022,M04,
RS,INTL,PAS_BRD,2022,M04,
SWE,INTL,PAS_BRD,2022,M04,1669531
SVN,INTL,PAS_BRD,2022,M04,69385
SVK,INTL,PAS_BRD,2022,M04,122719
TUR,INTL,PAS_BRD,2022,M04,
GBR,INTL,PAS_BRD,2022,M04,
AUT,"NAT",PAS_BRD,2022,M04,16416
BEL,"NAT",PAS_BRD,2022,M04,
BGR,"NAT",PAS_BRD,2022,M04,
CHE,"NAT",PAS_BRD,2022,M04,
CYP,"NAT",PAS_BRD,2022,M04,115
CZE,"NAT",PAS_BRD,2022,M04,1017
DEU,"NAT",PAS_BRD,2022,M04,830859
DNK,"NAT",PAS_BRD,2022,M04,
EST,"NAT",PAS_BRD,2022,M04,
GRC,"NAT",PAS_BRD,2022,M04,
ESP,"NAT",PAS_BRD,2022,M04,3306613
FIN,"NAT",PAS_BRD,2022,M04,142372
FRA,"NAT",PAS_BRD,2022,M04,
HRV,"NAT",PAS_BRD,2022,M04,28422
HUN,"NAT",PAS_BRD,2022,M04,
IRL,"NAT",PAS_BRD,2022,M04,
ISL,"NAT",PAS_BRD,2022,M04,25808
ITA,"NAT",PAS_BRD,2022,M04,
LTU,"NAT",PAS_BRD,2022,M04,11
LUX,"NAT",PAS_BRD,2022,M04,0
LVA,"NAT",PAS_BRD,2022,M04,
MNE,"NAT",PAS_BRD,2022,M04,
MKD,"NAT",PAS_BRD,2022,M04,
MLT,"NAT",PAS_BRD,2022,M04,
NLD,"NAT",PAS_BRD,2022,M04,61
NOR,"NAT",PAS_BRD,2022,M04,1281925
POL,"NAT",PAS_BRD,2022,M04,
PRT,"NAT",PAS_BRD,2022,M04,473350
ROU,"NAT",PAS_BRD,2022,M04,
RS,"NAT",PAS_BRD,2022,M04,
SWE,"NAT",PAS_BRD,2022,M04,362619
SVN,"NAT",PAS_BRD,2022,M04,0
SVK,"NAT",PAS_BRD,2022,M04,62
TUR,"NAT",PAS_BRD,2022,M04,
GBR,"NAT",PAS_BRD,2022,M04,
AUT,TOTAL,PAS_BRD,2022,M04,1977253
BEL,TOTAL,PAS_BRD,2022,M04,
BGR,TOTAL,PAS_BRD,2022,M04,
CHE,TOTAL,PAS_BRD,2022,M04,
CYP,TOTAL,PAS_BRD,2022,M04,729730
CZE,TOTAL,PAS_BRD,2022,M04,826392
DEU,TOTAL,PAS_BRD,2022,M04,12786348
DNK,TOTAL,PAS_BRD,2022,M04,
EST,TOTAL,PAS_BRD,2022,M04,
GRC,TOTAL,PAS_BRD,2022,M04,
ESP,TOTAL,PAS_BRD,2022,M04,16723694
FIN,TOTAL,PAS_BRD,2022,M04,992886
FRA,TOTAL,PAS_BRD,2022,M04,
HRV,TOTAL,PAS_BRD,2022,M04,558560
HUN,TOTAL,PAS_BRD,2022,M04,
IRL,TOTAL,PAS_BRD,2022,M04,
ISL,TOTAL,PAS_BRD,2022,M04,415406
ITA,TOTAL,PAS_BRD,2022,M04,
LTU,TOTAL,PAS_BRD,2022,M04,445766
LUX,TOTAL,PAS_BRD,2022,M04,346651
LVA,TOTAL,PAS_BRD,2022,M04,
MNE,TOTAL,PAS_BRD,2022,M04,
MKD,TOTAL,PAS_BRD,2022,M04,
MLT,TOTAL,PAS_BRD,2022,M04,
NLD,TOTAL,PAS_BRD,2022,M04,5143625
NOR,TOTAL,PAS_BRD,2022,M04,2731336
POL,TOTAL,PAS_BRD,2022,M04,
PRT,TOTAL,PAS_BRD,2022,M04,4468801
ROU,TOTAL,PAS_BRD,2022,M04,
RS,TOTAL,PAS_BRD,2022,M04,
SWE,TOTAL,PAS_BRD,2022,M04,2032150
SVN,TOTAL,PAS_BRD,2022,M04,69385
SVK,TOTAL,PAS_BRD,2022,M04,122781
TUR,TOTAL,PAS_BRD,2022,M04,
GBR,TOTAL,PAS_BRD,2022,M04,
AUT,INTL,PAS_BRD,2022,M03,1548840
BEL,INTL,PAS_BRD,2022,M03,
BGR,INTL,PAS_BRD,2022,M03,418022
CHE,INTL,PAS_BRD,2022,M03,2871836
CYP,INTL,PAS_BRD,2022,M03,355428
CZE,INTL,PAS_BRD,2022,M03,622573
DEU,INTL,PAS_BRD,2022,M03,8238209
DNK,INTL,PAS_BRD,2022,M03,1541523
EST,INTL,PAS_BRD,2022,M03,168395
GRC,INTL,PAS_BRD,2022,M03,
ESP,INTL,PAS_BRD,2022,M03,9678926
FIN,INTL,PAS_BRD,2022,M03,714431
FRA,INTL,PAS_BRD,2022,M03,6951278
HRV,INTL,PAS_BRD,2022,M03,214065
HUN,INTL,PAS_BRD,2022,M03,801299
IRL,INTL,PAS_BRD,2022,M03,2070291
ISL,INTL,PAS_BRD,2022,M03,302894
ITA,INTL,PAS_BRD,2022,M03,
LTU,INTL,PAS_BRD,2022,M03,311347
LUX,INTL,PAS_BRD,2022,M03,241767
LVA,INTL,PAS_BRD,2022,M03,304097
MNE,INTL,PAS_BRD,2022,M03,
MKD,INTL,PAS_BRD,2022,M03,
MLT,INTL,PAS_BRD,2022,M03,317646
NLD,INTL,PAS_BRD,2022,M03,4243268
NOR,INTL,PAS_BRD,2022,M03,1070707
POL,INTL,PAS_BRD,2022,M03,2066423
PRT,INTL,PAS_BRD,2022,M03,2930945
ROU,INTL,PAS_BRD,2022,M03,
RS,INTL,PAS_BRD,2022,M03,
SWE,INTL,PAS_BRD,2022,M03,1218956
SVN,INTL,PAS_BRD,2022,M03,50839
SVK,INTL,PAS_BRD,2022,M03,84571
TUR,INTL,PAS_BRD,2022,M03,
GBR,INTL,PAS_BRD,2022,M03,
AUT,"NAT",PAS_BRD,2022,M03,12815
BEL,"NAT",PAS_BRD,2022,M03,
BGR,"NAT",PAS_BRD,2022,M03,13730
CHE,"NAT",PAS_BRD,2022,M03,21270
CYP,"NAT",PAS_BRD,2022,M03,0
CZE,"NAT",PAS_BRD,2022,M03,1797
DEU,"NAT",PAS_BRD,2022,M03,600519
DNK,"NAT",PAS_BRD,2022,M03,122126
EST,"NAT",PAS_BRD,2022,M03,3349
GRC,"NAT",PAS_BRD,2022,M03,
ESP,"NAT",PAS_BRD,2022,M03,2790037
FIN,"NAT",PAS_BRD,2022,M03,183682
FRA,"NAT",PAS_BRD,2022,M03,1979785
HRV,"NAT",PAS_BRD,2022,M03,24375
HUN,"NAT",PAS_BRD,2022,M03,22
IRL,"NAT",PAS_BRD,2022,M03,8859
ISL,"NAT",PAS_BRD,2022,M03,26024
ITA,"NAT",PAS_BRD,2022,M03,
LTU,"NAT",PAS_BRD,2022,M03,0
LUX,"NAT",PAS_BRD,2022,M03,94
LVA,"NAT",PAS_BRD,2022,M03,0
MNE,"NAT",PAS_BRD,2022,M03,
MKD,"NAT",PAS_BRD,2022,M03,
MLT,"NAT",PAS_BRD,2022,M03,0
NLD,"NAT",PAS_BRD,2022,M03,27
NOR,"NAT",PAS_BRD,2022,M03,1211100
POL,"NAT",PAS_BRD,2022,M03,87216
PRT,"NAT",PAS_BRD,2022,M03,331067
ROU,"NAT",PAS_BRD,2022,M03,
RS,"NAT",PAS_BRD,2022,M03,
SWE,"NAT",PAS_BRD,2022,M03,329433
SVN,"NAT",PAS_BRD,2022,M03,0
SVK,"NAT",PAS_BRD,2022,M03,49
TUR,"NAT",PAS_BRD,2022,M03,
GBR,"NAT",PAS_BRD,2022,M03,
AUT,TOTAL,PAS_BRD,2022,M03,1561655
BEL,TOTAL,PAS_BRD,2022,M03,
BGR,TOTAL,PAS_BRD,2022,M03,431752
CHE,TOTAL,PAS_BRD,2022,M03,2893106
CYP,TOTAL,PAS_BRD,2022,M03,355428
CZE,TOTAL,PAS_BRD,2022,M03,624370
DEU,TOTAL,PAS_BRD,2022,M03,8838728
DNK,TOTAL,PAS_BRD,2022,M03,1663649
EST,TOTAL,PAS_BRD,2022,M03,171744
GRC,TOTAL,PAS_BRD,2022,M03,
ESP,TOTAL,PAS_BRD,2022,M03,12468963
FIN,TOTAL,PAS_BRD,2022,M03,898113
FRA,TOTAL,PAS_BRD,2022,M03,8931063
HRV,TOTAL,PAS_BRD,2022,M03,238440
HUN,TOTAL,PAS_BRD,2022,M03,801321
IRL,TOTAL,PAS_BRD,2022,M03,2079150
ISL,TOTAL,PAS_BRD,2022,M03,328918
ITA,TOTAL,PAS_BRD,2022,M03,
LTU,TOTAL,PAS_BRD,2022,M03,311347
LUX,TOTAL,PAS_BRD,2022,M03,241861
LVA,TOTAL,PAS_BRD,2022,M03,304097
MNE,TOTAL,PAS_BRD,2022,M03,
MKD,TOTAL,PAS_BRD,2022,M03,
MLT,TOTAL,PAS_BRD,2022,M03,317646
NLD,TOTAL,PAS_BRD,2022,M03,4243295
NOR,TOTAL,PAS_BRD,2022,M03,2281807
POL,TOTAL,PAS_BRD,2022,M03,2153639
PRT,TOTAL,PAS_BRD,2022,M03,3262012
ROU,TOTAL,PAS_BRD,2022,M03,
RS,TOTAL,PAS_BRD,2022,M03,
SWE,TOTAL,PAS_BRD,2022,M03,1548389
SVN,TOTAL,PAS_BRD,2022,M03,50839
SVK,TOTAL,PAS_BRD,2022,M03,84620
TUR,TOTAL,PAS_BRD,2022,M03,
GBR,TOTAL,PAS_BRD,2022,M03,
AUT,INTL,PAS_BRD,2022,M02,1146266
BEL,INTL,PAS_BRD,2022,M02,
BGR,INTL,PAS_BRD,2022,M02,331616
CHE,INTL,PAS_BRD,2022,M02,2185109
CYP,INTL,PAS_BRD,2022,M02,241597
CZE,INTL,PAS_BRD,2022,M02,446346
DEU,INTL,PAS_BRD,2022,M02,5572090
DNK,INTL,PAS_BRD,2022,M02,1113811
EST,INTL,PAS_BRD,2022,M02,123819
GRC,INTL,PAS_BRD,2022,M02,680982
ESP,INTL,PAS_BRD,2022,M02,7192518
FIN,INTL,PAS_BRD,2022,M02,556445
FRA,INTL,PAS_BRD,2022,M02,5199613
HRV,INTL,PAS_BRD,2022,M02,142009
HUN,INTL,PAS_BRD,2022,M02,625304
IRL,INTL,PAS_BRD,2022,M02,1506935
ISL,INTL,PAS_BRD,2022,M02,232704
ITA,INTL,PAS_BRD,2022,M02,
LTU,INTL,PAS_BRD,2022,M02,253645
LUX,INTL,PAS_BRD,2022,M02,192825
LVA,INTL,PAS_BRD,2022,M02,225641
MNE,INTL,PAS_BRD,2022,M02,
MKD,INTL,PAS_BRD,2022,M02,
MLT,INTL,PAS_BRD,2022,M02,197930
NLD,INTL,PAS_BRD,2022,M02,3041476
NOR,INTL,PAS_BRD,2022,M02,757885
POL,INTL,PAS_BRD,2022,M02,1650939
PRT,INTL,PAS_BRD,2022,M02,2108116
ROU,INTL,PAS_BRD,2022,M02,
RS,INTL,PAS_BRD,2022,M02,
SWE,INTL,PAS_BRD,2022,M02,827852
SVN,INTL,PAS_BRD,2022,M02,37761
SVK,INTL,PAS_BRD,2022,M02,58882
TUR,INTL,PAS_BRD,2022,M02,
GBR,INTL,PAS_BRD,2022,M02,
AUT,"NAT",PAS_BRD,2022,M02,9713
BEL,"NAT",PAS_BRD,2022,M02,
BGR,"NAT",PAS_BRD,2022,M02,11345
CHE,"NAT",PAS_BRD,2022,M02,17969
CYP,"NAT",PAS_BRD,2022,M02,0
CZE,"NAT",PAS_BRD,2022,M02,357
DEU,"NAT",PAS_BRD,2022,M02,414647
DNK,"NAT",PAS_BRD,2022,M02,85155
EST,"NAT",PAS_BRD,2022,M02,2451
GRC,"NAT",PAS_BRD,2022,M02,389007
ESP,"NAT",PAS_BRD,2022,M02,2229834
FIN,"NAT",PAS_BRD,2022,M02,139637
FRA,"NAT",PAS_BRD,2022,M02,1662606
HRV,"NAT",PAS_BRD,2022,M02,18623
HUN,"NAT",PAS_BRD,2022,M02,16
IRL,"NAT",PAS_BRD,2022,M02,5691
ISL,"NAT",PAS_BRD,2022,M02,18957
ITA,"NAT",PAS_BRD,2022,M02,
LTU,"NAT",PAS_BRD,2022,M02,8
LUX,"NAT",PAS_BRD,2022,M02,127
LVA,"NAT",PAS_BRD,2022,M02,0
MNE,"NAT",PAS_BRD,2022,M02,
MKD,"NAT",PAS_BRD,2022,M02,
MLT,"NAT",PAS_BRD,2022,M02,0
NLD,"NAT",PAS_BRD,2022,M02,13
NOR,"NAT",PAS_BRD,2022,M02,811113
POL,"NAT",PAS_BRD,2022,M02,61798
PRT,"NAT",PAS_BRD,2022,M02,242054
ROU,"NAT",PAS_BRD,2022,M02,
RS,"NAT",PAS_BRD,2022,M02,
SWE,"NAT",PAS_BRD,2022,M02,216606
SVN,"NAT",PAS_BRD,2022,M02,0
SVK,"NAT",PAS_BRD,2022,M02,37
TUR,"NAT",PAS_BRD,2022,M02,
GBR,"NAT",PAS_BRD,2022,M02,
AUT,TOTAL,PAS_BRD,2022,M02,1155979
BEL,TOTAL,PAS_BRD,2022,M02,
BGR,TOTAL,PAS_BRD,2022,M02,342961
CHE,TOTAL,PAS_BRD,2022,M02,2203078
CYP,TOTAL,PAS_BRD,2022,M02,241597
CZE,TOTAL,PAS_BRD,2022,M02,446703
DEU,TOTAL,PAS_BRD,2022,M02,5986737
DNK,TOTAL,PAS_BRD,2022,M02,1198966
EST,TOTAL,PAS_BRD,2022,M02,126270
GRC,TOTAL,PAS_BRD,2022,M02,1069989
ESP,TOTAL,PAS_BRD,2022,M02,9422352
FIN,TOTAL,PAS_BRD,2022,M02,696082
FRA,TOTAL,PAS_BRD,2022,M02,6862219
HRV,TOTAL,PAS_BRD,2022,M02,160632
HUN,TOTAL,PAS_BRD,2022,M02,625320
IRL,TOTAL,PAS_BRD,2022,M02,1512626
ISL,TOTAL,PAS_BRD,2022,M02,251661
ITA,TOTAL,PAS_BRD,2022,M02,
LTU,TOTAL,PAS_BRD,2022,M02,253653
LUX,TOTAL,PAS_BRD,2022,M02,192952
LVA,TOTAL,PAS_BRD,2022,M02,225641
MNE,TOTAL,PAS_BRD,2022,M02,
MKD,TOTAL,PAS_BRD,2022,M02,
MLT,TOTAL,PAS_BRD,2022,M02,197930
NLD,TOTAL,PAS_BRD,2022,M02,3041489
NOR,TOTAL,PAS_BRD,2022,M02,1568998
POL,TOTAL,PAS_BRD,2022,M02,1712737
PRT,TOTAL,PAS_BRD,2022,M02,2350170
ROU,TOTAL,PAS_BRD,2022,M02,
RS,TOTAL,PAS_BRD,2022,M02,
SWE,TOTAL,PAS_BRD,2022,M02,1044458
SVN,TOTAL,PAS_BRD,2022,M02,37761
SVK,TOTAL,PAS_BRD,2022,M02,58919
TUR,TOTAL,PAS_BRD,2022,M02,
GBR,TOTAL,PAS_BRD,2022,M02,
AUT,INTL,PAS_BRD,2022,M01,1011222
BEL,INTL,PAS_BRD,2022,M01,
BGR,INTL,PAS_BRD,2022,M01,331379
CHE,INTL,PAS_BRD,2022,M01,1745681
CYP,INTL,PAS_BRD,2022,M01,224024
CZE,INTL,PAS_BRD,2022,M01,348734
DEU,INTL,PAS_BRD,2022,M01,5487706
DNK,INTL,PAS_BRD,2022,M01,884299
EST,INTL,PAS_BRD,2022,M01,129307
GRC,INTL,PAS_BRD,2022,M01,650883
ESP,INTL,PAS_BRD,2022,M01,6108638
FIN,INTL,PAS_BRD,2022,M01,569241
FRA,INTL,PAS_BRD,2022,M01,4110336
HRV,INTL,PAS_BRD,2022,M01,135400
HUN,INTL,PAS_BRD,2022,M01,570067
IRL,INTL,PAS_BRD,2022,M01,1091189
ISL,INTL,PAS_BRD,2022,M01,189885
ITA,INTL,PAS_BRD,2022,M01,3068273
LTU,INTL,PAS_BRD,2022,M01,249062
LUX,INTL,PAS_BRD,2022,M01,147210
LVA,INTL,PAS_BRD,2022,M01,245616
MNE,INTL,PAS_BRD,2022,M01,
MKD,INTL,PAS_BRD,2022,M01,112735
MLT,INTL,PAS_BRD,2022,M01,160075
NLD,INTL,PAS_BRD,2022,M01,2832946
NOR,INTL,PAS_BRD,2022,M01,614411
POL,INTL,PAS_BRD,2022,M01,1553919
PRT,INTL,PAS_BRD,2022,M01,1686707
ROU,INTL,PAS_BRD,2022,M01,
RS,INTL,PAS_BRD,2022,M01,
SWE,INTL,PAS_BRD,2022,M01,835843
SVN,INTL,PAS_BRD,2022,M01,37379
SVK,INTL,PAS_BRD,2022,M01,47971
TUR,INTL,PAS_BRD,2022,M01,
GBR,INTL,PAS_BRD,2022,M01,
AUT,"NAT",PAS_BRD,2022,M01,9300
BEL,"NAT",PAS_BRD,2022,M01,
BGR,"NAT",PAS_BRD,2022,M01,12097
CHE,"NAT",PAS_BRD,2022,M01,18690
CYP,"NAT",PAS_BRD,2022,M01,0
CZE,"NAT",PAS_BRD,2022,M01,39
DEU,"NAT",PAS_BRD,2022,M01,393086
DNK,"NAT",PAS_BRD,2022,M01,75638
EST,"NAT",PAS_BRD,2022,M01,2554
GRC,"NAT",PAS_BRD,2022,M01,360575
ESP,"NAT",PAS_BRD,2022,M01,2018885
FIN,"NAT",PAS_BRD,2022,M01,127792
FRA,"NAT",PAS_BRD,2022,M01,1537249
HRV,"NAT",PAS_BRD,2022,M01,18252
HUN,"NAT",PAS_BRD,2022,M01,6
IRL,"NAT",PAS_BRD,2022,M01,3574
ISL,"NAT",PAS_BRD,2022,M01,14178
ITA,"NAT",PAS_BRD,2022,M01,1501711
LTU,"NAT",PAS_BRD,2022,M01,112
LUX,"NAT",PAS_BRD,2022,M01,60
LVA,"NAT",PAS_BRD,2022,M01,0
MNE,"NAT",PAS_BRD,2022,M01,
MKD,"NAT",PAS_BRD,2022,M01,0
MLT,"NAT",PAS_BRD,2022,M01,0
NLD,"NAT",PAS_BRD,2022,M01,140
NOR,"NAT",PAS_BRD,2022,M01,682799
POL,"NAT",PAS_BRD,2022,M01,69858
PRT,"NAT",PAS_BRD,2022,M01,225027
ROU,"NAT",PAS_BRD,2022,M01,
RS,"NAT",PAS_BRD,2022,M01,
SWE,"NAT",PAS_BRD,2022,M01,180044
SVN,"NAT",PAS_BRD,2022,M01,0
SVK,"NAT",PAS_BRD,2022,M01,66
TUR,"NAT",PAS_BRD,2022,M01,
GBR,"NAT",PAS_BRD,2022,M01,
AUT,TOTAL,PAS_BRD,2022,M01,1020522
BEL,TOTAL,PAS_BRD,2022,M01,
BGR,TOTAL,PAS_BRD,2022,M01,343476
CHE,TOTAL,PAS_BRD,2022,M01,1764371
CYP,TOTAL,PAS_BRD,2022,M01,224024
CZE,TOTAL,PAS_BRD,2022,M01,348773
DEU,TOTAL,PAS_BRD,2022,M01,5880792
DNK,TOTAL,PAS_BRD,2022,M01,959937
EST,TOTAL,PAS_BRD,2022,M01,131861
GRC,TOTAL,PAS_BRD,2022,M01,1011458
ESP,TOTAL,PAS_BRD,2022,M01,8127523
FIN,TOTAL,PAS_BRD,2022,M01,697033
FRA,TOTAL,PAS_BRD,2022,M01,5647585
HRV,TOTAL,PAS_BRD,2022,M01,153652
HUN,TOTAL,PAS_BRD,2022,M01,570073
IRL,TOTAL,PAS_BRD,2022,M01,1094763
ISL,TOTAL,PAS_BRD,2022,M01,204063
ITA,TOTAL,PAS_BRD,2022,M01,4569984
LTU,TOTAL,PAS_BRD,2022,M01,249174
LUX,TOTAL,PAS_BRD,2022,M01,147270
LVA,TOTAL,PAS_BRD,2022,M01,245616
MNE,TOTAL,PAS_BRD,2022,M01,
MKD,TOTAL,PAS_BRD,2022,M01,112735
MLT,TOTAL,PAS_BRD,2022,M01,160075
NLD,TOTAL,PAS_BRD,2022,M01,2833086
NOR,TOTAL,PAS_BRD,2022,M01,1297210
POL,TOTAL,PAS_BRD,2022,M01,1623777
PRT,TOTAL,PAS_BRD,2022,M01,1911734
ROU,TOTAL,PAS_BRD,2022,M01,
RS,TOTAL,PAS_BRD,2022,M01,
SWE,TOTAL,PAS_BRD,2022,M01,1015887
SVN,TOTAL,PAS_BRD,2022,M01,37379
SVK,TOTAL,PAS_BRD,2022,M01,48037
TUR,TOTAL,PAS_BRD,2022,M01,
GBR,TOTAL,PAS_BRD,2022,M01,
AUT,INTL,PAS_BRD,2021,M12,1026653
BEL,INTL,PAS_BRD,2021,M12,1427912
BGR,INTL,PAS_BRD,2021,M12,374148
CHE,INTL,PAS_BRD,2021,M12,2046055
CYP,INTL,PAS_BRD,2021,M12,320440
CZE,INTL,PAS_BRD,2021,M12,497663
DEU,INTL,PAS_BRD,2021,M12,6937860
DNK,INTL,PAS_BRD,2021,M12,1170451
EST,INTL,PAS_BRD,2021,M12,162537
GRC,INTL,PAS_BRD,2021,M12,935730
ESP,INTL,PAS_BRD,2021,M12,7216853
FIN,INTL,PAS_BRD,2021,M12,838499
FRA,INTL,PAS_BRD,2021,M12,5588024
HRV,INTL,PAS_BRD,2021,M12,176301
HUN,INTL,PAS_BRD,2021,M12,710482
IRL,INTL,PAS_BRD,2021,M12,1328619
ISL,INTL,PAS_BRD,2021,M12,254445
ITA,INTL,PAS_BRD,2021,M12,4382769
LTU,INTL,PAS_BRD,2021,M12,294720
LUX,INTL,PAS_BRD,2021,M12,224118
LVA,INTL,PAS_BRD,2021,M12,301671
MNE,INTL,PAS_BRD,2021,M12,62028
MKD,INTL,PAS_BRD,2021,M12,123358
MLT,INTL,PAS_BRD,2021,M12,255575
NLD,INTL,PAS_BRD,2021,M12,3209977
NOR,INTL,PAS_BRD,2021,M12,772899
POL,INTL,PAS_BRD,2021,M12,1902611
PRT,INTL,PAS_BRD,2021,M12,2116447
