country,coverage,measure,year,month,passengers
AUT,INTL,PAS_BRD,2022,M05,
BEL,INTL,PAS_BRD,2022,M05,
BGR,INTL,PAS_BRD,2022,M05,
CHE,INTL,PAS_BRD,2022,M05,
CYP,INTL,PAS_BRD,2022,M05,864862
CZE,INTL,PAS_BRD,2022,M05,
DEU,INTL,PAS_BRD,2022,M05,
DNK,INTL,PAS_BRD,2022,M05,
EST,INTL,PAS_BRD,2022,M05,
GRC,INTL,PAS_BRD,2022,M05,
ESP,INTL,PAS_BRD,2022,M05,14749996
FIN,INTL,PAS_BRD,2022,M05,
FRA,INTL,PAS_BRD,2022,M05,
HRV,INTL,PAS_BRD,2022,M05,
HUN,INTL,PAS_BRD,2022,M05,
IRL,INTL,PAS_BRD,2022,M05,
ISL,INTL,PAS_BRD,2022,M05,487635
ITA,INTL,PAS_BRD,2022,M05,
LTU,INTL,PAS_BRD,2022,M05,
LUX,INTL,PAS_BRD,2022,M05,386571
LVA,INTL,PAS_BRD,2022,M05,
MNE,INTL,PAS_BRD,2022,M05,
MKD,INTL,PAS_BRD,2022,M05,
MLT,INTL,PAS_BRD,2022,M05,
NLD,INTL,PAS_BRD,2022,M05,
NOR,INTL,PAS_BRD,2022,M05,1610846
POL,INTL,PAS_BRD,2022,M05,
PRT,INTL,PAS_BRD,2022,M05,
ROU,INTL,PAS_BRD,2022,M05,
RS,INTL,PAS_BRD,2022,M05,
SWE,INTL,PAS_BRD,2022,M05,
SVN,INTL,PAS_BRD,2022,M05,
SVK,INTL,PAS_BRD,2022,M05,
TUR,INTL,PAS_BRD,2022,M05,
GBR,INTL,PAS_BRD,2022,M05,
AUT,"NAT",PAS_BRD,2022,M05,
BEL,"NAT",PAS_BRD,2022,M05,
BGR,"NAT",PAS_BRD,2022,M05,
CHE,"NAT",PAS_BRD,2022,M05,
CYP,"NAT",PAS_BRD,2022,M05,515
CZE,"NAT",PAS_BRD,2022,M05,
DEU,"NAT",PAS_BRD,2022,M05,
DNK,"NAT",PAS_BRD,2022,M05,
EST,"NAT",PAS_BRD,2022,M05,
GRC,"NAT",PAS_BRD,2022,M05,
ESP,"NAT",PAS_BRD,2022,M05,3496155
FIN,"NAT",PAS_BRD,2022,M05,
FRA,"NAT",PAS_BRD,2022,M05,
HRV,"NAT",PAS_BRD,2022,M05,
HUN,"NAT",PAS_BRD,2022,M05,
IRL,"NAT",PAS_BRD,2022,M05,
ISL,"NAT",PAS_BRD,2022,M05,31349
ITA,"NAT",PAS_BRD,2022,M05,
LTU,"NAT",PAS_BRD,2022,M05,
LUX,"NAT",PAS_BRD,2022,M05,0
LVA,"NAT",PAS_BRD,2022,M05,
MNE,"NAT",PAS_BRD,2022,M05,
MKD,"NAT",PAS_BRD,2022,M05,
MLT,"NAT",PAS_BRD,2022,M05,
NLD,"NAT",PAS_BRD,2022,M05,
NOR,"NAT",PAS_BRD,2022,M05,1465754
POL,"NAT",PAS_BRD,2022,M05,
PRT,"NAT",PAS_BRD,2022,M05,
ROU,"NAT",PAS_BRD,2022,M05,
RS,"NAT",PAS_BRD,2022,M05,
SWE,"NAT",PAS_BRD,2022,M05,
SVN,"NAT",PAS_BRD,2022,M05,
SVK,"NAT",PAS_BRD,2022,M05,
TUR,"NAT",PAS_BRD,2022,M05,
GBR,"NAT",PAS_BRD,2022,M05,
AUT,TOTAL,PAS_BRD,2022,M05,
BEL,TOTAL,PAS_BRD,2022,M05,
BGR,TOTAL,PAS_BRD,2022,M05,
CHE,TOTAL,PAS_BRD,2022,M05,
CYP,TOTAL,PAS_BRD,2022,M05,865377
CZE,TOTAL,PAS_BRD,2022,M05,
DEU,TOTAL,PAS_BRD,2022,M05,
DNK,TOTAL,PAS_BRD,2022,M05,
EST,TOTAL,PAS_BRD,2022,M05,
GRC,TOTAL,PAS_BRD,2022,M05,
ESP,TOTAL,PAS_BRD,2022,M05,18246151
FIN,TOTAL,PAS_BRD,2022,M05,
FRA,TOTAL,PAS_BRD,2022,M05,
HRV,TOTAL,PAS_BRD,2022,M05,
HUN,TOTAL,PAS_BRD,2022,M05,
IRL,TOTAL,PAS_BRD,2022,M05,
ISL,TOTAL,PAS_BRD,2022,M05,518984
ITA,TOTAL,PAS_BRD,2022,M05,
LTU,TOTAL,PAS_BRD,2022,M05,
LUX,TOTAL,PAS_BRD,2022,M05,386571
LVA,TOTAL,PAS_BRD,2022,M05,
MNE,TOTAL,PAS_BRD,2022,M05,
MKD,TOTAL,PAS_BRD,2022,M05,
MLT,TOTAL,PAS_BRD,2022,M05,
NLD,TOTAL,PAS_BRD,2022,M05,
NOR,TOTAL,PAS_BRD,2022,M05,3076600
POL,TOTAL,PAS_BRD,2022,M05,
PRT,TOTAL,PAS_BRD,2022,M05,
ROU,TOTAL,PAS_BRD,2022,M05,
RS,TOTAL,PAS_BRD,2022,M05,
